"TweetId (S)","URL (S)","topic (S)","type (S)","user_type (S)"
"1106684834645192705","https://www.usnews.com/news/articles/2016-09-08/fentanyl-maker-donates-big-to-campaign-opposing-pot-legalization?fbclid=IwAR3KVwT3BGai0ob_pyua89hWtzgfEUVj6xffc4MKHzzCrl17oDJCY7BjTdQ","ecig","News","Bot"
"1106686512228429826","https://www.charismanews.com/us/75573-ray-comfort-delivers-another-challenging-thought-provoking-film-sure-to-stir-the-pot","weed","Fake News","Human"
"1106687366582947840","https://www.lifenews.com/2019/03/15/oklahoma-senate-passes-measure-saying-there-is-no-right-to-abortion/#.XIwpmqHI4UY.twitter","ecig","Fake News","Bot"
"1106687771681411073","https://mjbizdaily.com/medical-cannabis-sales-rise-in-canada-after-adult-use-legalization/","weed","None Found","Bot"
"1106688460419670016","https://www.philly.com/news/new-jersey/weed-legalization-marijuana-cannabis-bill-new-jersey-delivery-recreational-20190315.html","ecig","News","Bot"
"1106692754074001408","http://daggamagazine.com/2019/03/16/legal-marijuana-market-global-market-analysis-size-share-growth-trends-and-forecast-2019/","weed","None Found","Bot"
"1106696602180153344","https://www.fortune420.com/news/","ecig","None Found","Bot"
"1106696849359028225","https://www.usnews.com/news/national-news/articles/2019-03-15/bipartisan-bill-seeks-to-protect-federal-employees-who-use-state-legal-marijuana","weed","News","Bot"
"1106697215454658562","https://www.nytimes.com/2019/03/15/health/tobacco-e-cigarettes-lobbying-fda.html","ecig","News","Human"
"1106697760470777856","https://www.cbsnews.com/amp/news/amazon-removes-books-promoting-autism-cures-and-vaccine-misinformation/?fbclid=IwAR38b331CvLfxC9fWA6tUULr5XPt6IGi1xTzVg0cmJQkO2KOHeKAEOaf6e0&__twitter_impression=true","weed","News","Human"
"1106705386164363264","https://nextcity.org/daily/entry/coalition-works-to-ensure-racial-equity-as-illinois-eyes-legal-marijuana","weed","None Found","Human"
"1106709040879419392","http://mynorthwest.com/1308783/vaping-tax-washington-smoking/","ecig","None Found","Human"
"1106716674118639616","https://paper.li/FORDHealthWonk/1336062909?edition_id=0131b200-4784-11e9-86d5-002590a5ba2d","ecig","None Found","Human"
"1106730280373628928","http://www.zaratealerta.com.ar/2019/03/07/el-aceite-de-cannabis-medicinal-ya-es-legal-en-argentina/?fbclid=IwAR1dHfYahhal3tCkOh7onvlUV9NfUynmNK9rxpjZ14tTiik_pOgGP65GASE","ecig","None Found","Bot"
"1106730281980121088","https://outline.com/rvDfvC","ecig","None Found","Human"
"1106730693395009536","https://komonews.com/news/local/most-washington-teens-report-using-marijuana-less-often-now-that-its-legal","aids","None Found","Bot"
"1106731325925613568","https://www.nytimes.com/2019/03/15/health/tobacco-e-cigarettes-lobbying-fda.html","ecig","News","Human"
"1106732647890456576","https://www.usnews.com/news/articles/2016-09-08/fentanyl-maker-donates-big-to-campaign-opposing-pot-legalization?fbclid=IwAR3KVwT3BGai0ob_pyua89hWtzgfEUVj6xffc4MKHzzCrl17oDJCY7BjTdQ","ecig","News","Human"
"1106738315774967809","https://newspunch.com/trump-documents-vaccines-autism/","ecig","None Found","Human"
"1106740569617907712","https://www.google.com/url?rct=j&sa=t&url=https://www.timesunion.com/opinion/article/More-research-needed-ahead-of-pot-legalization-13693042.php&ct=ga&cd=CAIyGjkzMDI2YzBmYzkyMzg3MGE6Y29tOmVuOlVT&usg=AFQjCNFPo5xScSuCtF_UP5h-0v5Gn9hJlQ","ecig","Blog","Bot"
"1106745577088434177","https://www.foxnews.com/opinion/dont-be-fooled-marijuana-legalization-is-not-about-advancing-social-justice","ecig","News","Human"
"1106757008512843776","https://www.abqjournal.com/1292049","ecig","News","Bot"
"1106759440831823872","https://www.freep.com/story/news/marijuana/2019/03/15/michigan-marijuana-medical-legal-dispensaries/3164749002/","weed","None Found","Human"
"1106759726048538624","https://www.youtube.com/watch?v=DCLCKEAOi9U&feature=youtu.be","weed","Videos","Bot"
"1106766346128420864","http://www.zaratealerta.com.ar/2019/03/07/el-aceite-de-cannabis-medicinal-ya-es-legal-en-argentina/","weed","None Found","Human"
"1106767452807946241","https://www.investors.com/news/marijuana-stocks-brand-cannabis-marijuana-legalization-marijuana-industry/","vaccine","None Found","Bot"
"1106773177475231744","https://www.lawenforcementtoday.com/how-do-cops-spot-the-difference-between-legal-hemp-and-marijuana/","weed","None Found","Bot"
"1106779405664354304","http://metaldevastationradio.com/cannabisnet/youtube/58531/is-the-controlled-substances-act-unconstitutional-then-cannabis-could-be-legalized-overnight?utm_source=dlvr.it&utm_medium=facebook","ecig","None Found","Human"
"1106784602839019521","https://herb.co/news/legalization/lawyers-pot-possession-expungement-arrests/","abortion","None Found","Bot"
"1106796779905912832","https://www.businessinsider.com/marijuana-legalization-2020-presidential-candidates-2019-2","ecig","News","Bot"
"1106797475900252161","https://www.ebay.co.uk/itm/332585438975","ecig","None Found","Bot"
"1106797492950044678","https://www.ebay.co.uk/itm/332585438975","ecig","None Found","Bot"
"1106805446856400897","https://t.co/xoxpAzKB85%E2%80%A6","ecig","None Found","Human"
"1106808517770559488","https://thc.legal/voici-ce-quil-faut-faire-lorsque-votre-compte-420-est-desactive/","aids","None Found","Human"
"1106811764098904065","https://paper.li/f-1547276022?edition_id=c981c3b0-47b8-11e9-b211-0cc47a0d164b","weed","None Found","Human"
"1106811858437066752","https://www.marijuanamoment.net/legal-marijuana-sales-dont-increase-use-but-allowing-possession-does-study-finds/","weed","None Found","Human"
"1106813526314643457","https://www.ebay.co.uk/itm/332585438975","ecig","None Found","Bot"
"1106813697320579072","https://www.monteozlive.com/samini-calls-for-legalization-of-weed/?utm_source=dlvr.it&utm_medium=facebook","weed","None Found","Bot"
